Model,FP32 (KB),INT8 (KB),7-bit (KB),6-bit (KB),5-bit (KB),4-bit (KB),3-bit (KB),2-bit (KB),1-bit (KB)
ResNet18,200.0,50.0,43.75,37.5,31.25,25.0,18.75,12.5,6.25
ResNet34,200.0,50.0,43.75,37.5,31.25,25.0,18.75,12.5,6.25
ResNet50,800.0,200.0,175.0,150.0,125.0,100.0,75.0,50.0,25.0
ResNet101,800.0,200.0,175.0,150.0,125.0,100.0,75.0,50.0,25.0
ResNet150,800.0,200.0,175.0,150.0,125.0,100.0,75.0,50.0,25.0
